__time,/Sagan/SaganStates/steering_state[0]/angular_position,/Sagan/SaganStates/steering_state[1]/angular_position,/Sagan/SaganStates/steering_state[2]/angular_position,/Sagan/SaganStates/steering_state[3]/angular_position,/Sagan/SaganStates/wheel_state[0]/angular_velocity,/Sagan/SaganStates/wheel_state[1]/angular_velocity,/Sagan/SaganStates/wheel_state[2]/angular_velocity,/Sagan/SaganStates/wheel_state[3]/angular_velocity,/joint_states/LF_stering_arm_joint/effort,/joint_states/LF_stering_arm_joint/position,/joint_states/LF_stering_arm_joint/velocity,/joint_states/LF_wheel_joint/effort,/joint_states/LF_wheel_joint/position,/joint_states/LF_wheel_joint/velocity,/joint_states/LR_stering_arm_joint/effort,/joint_states/LR_stering_arm_joint/position,/joint_states/LR_stering_arm_joint/velocity,/joint_states/LR_wheel_joint/effort,/joint_states/LR_wheel_joint/position,/joint_states/LR_wheel_joint/velocity,/joint_states/Left_arm_joint/effort,/joint_states/Left_arm_joint/position,/joint_states/Left_arm_joint/velocity,/joint_states/RF_stering_arm_joint/effort,/joint_states/RF_stering_arm_joint/position,/joint_states/RF_stering_arm_joint/velocity,/joint_states/RF_wheel_joint/effort,/joint_states/RF_wheel_joint/position,/joint_states/RF_wheel_joint/velocity,/joint_states/RR_stering_arm_joint/effort,/joint_states/RR_stering_arm_joint/position,/joint_states/RR_stering_arm_joint/velocity,/joint_states/RR_wheel_joint/effort,/joint_states/RR_wheel_joint/position,/joint_states/RR_wheel_joint/velocity,/joint_states/Right_arm_joint/effort,/joint_states/Right_arm_joint/position,/joint_states/Right_arm_joint/velocity,/joint_states/base_footprint_joint/effort,/joint_states/base_footprint_joint/position,/joint_states/base_footprint_joint/velocity,/joint_states/header/stamp
1743632677.891611,,,,,,,,,-0.000000000,0.002837822,0.000415582,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002702605,-0.000395781,0.000216570,-0.000000184,-0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000721106,0.000105698,-0.000101992,0.000000087,0.000000000,0.000000000,0.006242901,0.000913382,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.710000000
1743632677.901677,0.000415887,0.000105775,-0.000396071,0.000914048,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632677.901757,,,,,,,,,-0.000000000,0.002841979,0.000415887,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002706565,-0.000396071,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000722163,0.000105775,-0.000101992,0.000000087,0.000000000,-0.000000000,0.006252038,0.000914048,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.720000000
1743632677.911905,0.000416191,0.000105853,-0.000396361,0.000914715,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632677.911986,,,,,,,,,-0.000000000,0.002846140,0.000416192,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002710527,-0.000396361,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000723221,0.000105853,-0.000101992,0.000000087,0.000000000,0.000000000,0.006261182,0.000914715,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.730000000
1743632677.922593,0.000416496,0.000105931,-0.000396651,0.000915382,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632677.922859,,,,,,,,,-0.000000000,0.002850303,0.000416496,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002714492,-0.000396651,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000724280,0.000105931,-0.000101992,0.000000087,0.000000000,0.000000000,0.006270333,0.000915382,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.740000000
1743632677.933380,0.000416801,0.000106009,-0.000396941,0.000916049,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743632677.933535,,,,,,,,,-0.000000000,0.002854470,0.000416801,0.000389143,-0.000000331,0.000000000,-0.000000000,-0.002718460,-0.000396941,0.000216570,-0.000000184,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000725340,0.000106009,-0.000101992,0.000000087,0.000000000,0.000000000,0.006279491,0.000916049,-0.000219972,0.000000187,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13.750000000
1743632677.943269,0.000417105,0.000106086,-0.000397231,0.000916716,0.000000000,0.000000000,0.000000000,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
